pigID_weekOfSampling,week,room,pen,transmission_chain,new_infection,Introduced,Removed,switched_from_pen,switched_from_room,genome_clade,genome_classification,ORF5_clade,ORF5_classification,ORF5_match_count,ORF5_matching_samples,Notes
501_0,0,Farrowing,3,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
502_0,0,Farrowing,3,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,Identified as the source of 8 horizontal infection cases.
503_0,0,Farrowing,3,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
504_0,0,Farrowing,3,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
505_0,0,Farrowing,4,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
506_0,0,Farrowing,4,none,FALSE,TRUE,TRUE,none,none,none,none,none,none,NA,NA,NA
507_0,0,Farrowing,4,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
508_0,0,Farrowing,4,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
509_0,0,Farrowing,4,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
510_0,0,Farrowing,4,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
511_0,0,Farrowing,8,none,FALSE,TRUE,TRUE,none,none,none,none,none,none,NA,NA,NA
512_0,0,Farrowing,8,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
513_0,0,Farrowing,8,none,FALSE,TRUE,TRUE,none,none,none,none,none,none,NA,NA,NA
514_0,0,Farrowing,8,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
515_0,0,Farrowing,8,98,TRUE,TRUE,FALSE,none,none,none,none,1,Initial Infection,NA,NA,Born-viremic and remained so for the entire study but did not transmit the virus. Was re-infected with a different variant at 9 weeks.
516_0,0,Farrowing,8,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
517_0,0,Farrowing,10,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
518_0,0,Farrowing,10,2,TRUE,TRUE,FALSE,none,none,none,none,2,Initial Infection,1,519_0,vertical transmission event that led to the establishment of founder viral variant
519_0,0,Farrowing,10,2,TRUE,TRUE,FALSE,none,none,none,none,2,Initial Infection,1,518_0,vertical transmission event that led to the establishment of founder viral variant
520_0,0,Farrowing,10,2,TRUE,TRUE,FALSE,none,none,none,none,2,Initial Infection,NA,NA,vertical transmission event that led to the establishment of founder viral variant
521_0,0,Farrowing,10,2,TRUE,TRUE,FALSE,none,none,none,none,2,Initial Infection,NA,NA,vertical transmission event that led to the establishment of founder viral variant
522_0,0,Farrowing,10,2,TRUE,TRUE,FALSE,none,none,none,none,2,Initial Infection,NA,NA,vertical transmission event that led to the establishment of founder viral variant
523_0,0,Farrowing,11,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
524_0,0,Farrowing,11,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
525_0,0,Farrowing,11,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
526_0,0,Farrowing,11,98,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,vertical transmission event that led to the establishment of founder viral variant
527_0,0,Farrowing,11,98,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,vertical transmission event that led to the establishment of founder viral variant
528_0,0,Farrowing,11,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
529_0,0,Farrowing,18,none,FALSE,TRUE,TRUE,none,none,none,none,none,none,NA,NA,NA
530_0,0,Farrowing,18,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
531_0,0,Farrowing,18,none,FALSE,TRUE,TRUE,none,none,none,none,none,none,NA,NA,NA
532_0,0,Farrowing,18,none,FALSE,TRUE,TRUE,none,none,none,none,none,none,NA,NA,NA
533_0,0,Farrowing,18,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
534_0,0,Farrowing,18,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
535_0,0,Farrowing,15,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
536_0,0,Farrowing,15,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
537_0,0,Farrowing,15,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
538_0,0,Farrowing,15,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
539_0,0,Farrowing,15,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
540_0,0,Farrowing,15,none,FALSE,TRUE,TRUE,none,none,none,none,none,none,NA,NA,NA
541_0,0,Farrowing,16,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
542_0,0,Farrowing,16,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
543_0,0,Farrowing,16,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
544_0,0,Farrowing,16,none,FALSE,TRUE,FALSE,none,none,none,none,none,none,NA,NA,NA
