Parameter	Mean	95%_HPD_Lower	95%_HPD_Upper	ESS
posterior	-1276.70462230073	-1301.46348951611	-1250.66649527695	1265.83544212901
likelihood	-1302.53618464735	-1317.41510715847	-1287.35088925967	1435.0228993835
prior	25.8315623466242	2.58706415543318	48.8002868220162	1008.48010846176
treeLikelihood	-1302.53618464735	-1317.41510715847	-1287.35088925967	1435.0228993835
Tree.height	1.13900673077788	1.04118745178438	1.2433365201244	1293.46498042432
Tree.treeLength	6.94400400874695	5.27619542946923	8.69879898683367	376.118290698771
ucldMean	0.0139054849458429	0.00821819923771699	0.0198935392466554	980.406196137881
ucldStdev	0.252195558008024	1.60452835614302e-08	0.77195840522943	1897.77581640455
rate.mean	0.0140925732572586	0.00849462752412918	0.019974815585071	976.984699589597
rate.variance	2.95156532156347e-05	2.23945916409481e-20	0.000134735865649354	2486.51695192874
rate.coefficientOfVariation	0.267101287049254	1.5466934930012e-08	0.857167829602545	1827.4650467301
originBDMMPrime	1.19585029182605	1.09270793058236	1.2962769413492	3177.30396039712
typeMappedTree.length_NOT_SET	6.94400400874695	5.27619542946923	8.69879898683367	376.118290698768
ReSPEpi.i0_endtime	0.457730624079868	0.347045879975956	0.56860737159362	3660.68668554994
ReSPEpi.i0	2.48200512095486	1.81472024356802	3.14622766547721	2882.14183429756
ReSPEpi.i1_endtime	0.971481974888769	0.840937563924855	1.10232010469932	1049.16577677093
ReSPEpi.i1	0.198746363432238	0.02924952313342	0.400839878858887	9578.57779587068
ReSPEpi.i2	3.16598615976155	2.01778624110979	4.39908736782448	1566.6504452142
becomeUninfectiousRateSPEpi	9.09431795730922	7.46622194604056	10.7673833964314	6903.4169888503
samplingProportionSPEpi.i0_endtime	0.245850291826049	0.142707930582358	0.346276941349204	3177.30396039713
samplingProportionSPEpi.i0	0	0	0	NA
samplingProportionSPEpi.i1_endtime	0.445850291826049	0.342707930582357	0.546276941349204	3177.30396039712
samplingProportionSPEpi.i1	0.328781707512707	0.187717329347305	0.471226363661543	1021.71500988111
samplingProportionSPEpi.i2_endtime	1.09585029182605	0.992707930582358	1.1962769413492	3177.30396039713
samplingProportionSPEpi.i2	0	0	0	NA
samplingProportionSPEpi.i3	0.287460004721671	0.0764945339832837	0.496613736436017	1040.33392732448
rateAC	0.284580408659225	0.0452290860214902	0.596340627786065	4091.04717944557
rateAG	2.53455741034318	1.71164801836781	2.8956597334686	5844.35729342074
rateAT	0.114293330783123	0.0100098626179669	0.275493085496006	5351.28011892292
rateCG	0.108985649592301	0.0100098626179669	0.259514312453884	5776.51429595161
rateCT	2.75022705126553	2.28274434070191	3.54721658970463	6888.48489931395
rateGT	0.207356149356646	0.0204183240973663	0.448712067610372	5240.94082737428
substmodel	122750.848524212	121121	123425	12014.9099259279
BMT_ModelIndicator	15.0123042505593	1	26	12247.8464657391
BMT_gammaShape	1.29006703680596	0.0010342429459014	3.25359521016135	960.701217215899
BMT_ProportionInvariable	0.74807833349447	0.520005591219915	0.886985456231607	432.328360239058
hasGammaRates	0.726059031536408	0	1	917.672467286687
hasInvariableSites	0.970592480334849	1	1	866.935222037801
ActivePropInvariable	0.732551633359042	0.481937836943645	0.891678223609733	439.299337004264
ActiveGammaShape	0.800001931064747	0	2.52140478740057	2932.39160817078
hasEqualFreqs	0.905246445839648	0	1	625.228635562478
BMT_frequencies.1	0.242339050029321	0.0618376395077992	0.442849424604812	3731.46643569945
BMT_frequencies.2	0.250201549365119	0.0674958523548717	0.451722160045929	3717.30856757151
BMT_frequencies.3	0.252881202196599	0.0640699926628213	0.451401345856122	3622.4530797139
BMT_frequencies.4	0.254578198408961	0.0754810530104504	0.468636123376303	3612.29855595058
