Parameter	Mean	95%_HPD_Lower	95%_HPD_Upper	ESS
posterior	-25633.4433294294	-25646.0597201589	-25621.9154550082	6508.39450110031
likelihood	-25648.3885834098	-25658.8032766939	-25638.817795969	12503.0360034186
prior	14.945253980405	7.25381822177453	22.7140377863984	2430.50682908884
treeLikelihood	-25648.3885834098	-25658.8032766939	-25638.817795969	12503.0360034186
Tree.height	1.21525471250299	1.13783799161057	1.30184415917792	1217.16634651785
Tree.treeLength	3.87419241316303	3.34874367920816	4.42229528432477	991.199368934032
rateAC	0.306598207244289	0.187568614903209	0.421904261514141	9681.1902854159
rateAG	2.66227092937698	2.53296833533644	2.76615468728164	11750.3232456651
rateAT	0.158384441052225	0.091804774281083	0.235396907292738	9170.66642661785
rateCG	0.0327609466647519	0.0100012388603866	0.0692027109417934	5935.22447535257
rateCT	2.68428223470875	2.56755762875341	2.80495338844913	12775.9515494423
rateGT	0.155703240952971	0.0917357059972787	0.2267366513347	9019.04487106056
substmodel	123230.494836044	121321	123453	11633.4482292331
BMT_ModelIndicator	22.7359282210173	5	28	12256.8538876597
BMT_gammaShape	1.10773038914851	0.224613145597529	2.34284183558968	1611.25856648886
BMT_ProportionInvariable	0.741585575588544	0.624060832829819	0.839065775886452	1183.31300783408
hasGammaRates	0.991328857905155	1	1	1594.34779772732
hasInvariableSites	1	1	1	NA
ActivePropInvariable	0.741585575588544	0.624060832829819	0.839065775886452	1183.31300783408
ActiveGammaShape	1.09005164684643	0.205639569739116	2.42969700426991	1922.85832521816
hasEqualFreqs	0	0	0	NA
BMT_frequencies.1	0.215444730926292	0.209071890991797	0.222024223060694	7499.36273147677
BMT_frequencies.2	0.273606586526747	0.266660679056635	0.280588405862826	6836.73088113972
BMT_frequencies.3	0.251782376003673	0.245088910843583	0.258411188748803	7164.00274500162
BMT_frequencies.4	0.259166306543287	0.252391139401478	0.266030758991101	6903.15355064479
originBDMMPrime	1.25271529740798	1.16490392501853	1.34326744663797	2120.44100190047
typeMappedTree.length_NOT_SET	3.87419241316303	3.34874367920816	4.42229528432477	991.199368934018
ReSPEpi.i0_endtime	0.352701801145153	0.0148715807152642	0.619584575494634	829.436259808555
ReSPEpi.i0	1.99558840180508	0.333219679848658	3.78352292375981	3963.62697991086
ReSPEpi.i1_endtime	0.599240572137007	0.17927911007445	1.10123503255978	430.633760539893
ReSPEpi.i1	1.21658650168534	0.0352577235401813	2.70652055819629	1556.7066842627
ReSPEpi.i2_endtime	0.855026549456657	0.431428172767743	1.19349814235219	362.699343653512
ReSPEpi.i2	0.934777169499757	0.0309484759757278	2.72446488945803	1042.3274813965
ReSPEpi.i3_endtime	1.11644499021396	0.971015872424782	1.27649983176765	1132.65572800078
ReSPEpi.i3	1.33692468028531	0.0300823058884628	5.3431873555681	580.719890791827
ReSPEpi.i4	3.57087248966733	0.138052567287734	6.25187131989288	1433.58585173845
becomeUninfectiousRateSPEpi	8.26491964578288	6.74425035890737	9.87282091185207	28210.0888963135
samplingProportionSPEpi.i0_endtime	0.302715297407978	0.214903925018533	0.393267446637971	2120.44100190048
samplingProportionSPEpi.i0	0	0	0	NA
samplingProportionSPEpi.i1_endtime	0.502715297407978	0.414903925018533	0.593267446637971	2120.44100190047
samplingProportionSPEpi.i1	0.240947214480682	0.0999975082127964	0.387127373232679	10492.2247814749
samplingProportionSPEpi.i2_endtime	1.15271529740798	1.06490392501853	1.24326744663797	2120.44100190047
samplingProportionSPEpi.i2	0	0	0	NA
samplingProportionSPEpi.i3	0.279539510332831	0.0572326626824572	0.524561553997446	9731.35642455852
ucldMean	0.0112700092659005	0.0091281900030833	0.013399414535601	1311.10877490702
ucldStdev	0.108129784732423	1.4814227761904e-08	0.27026252832582	6091.05375367936
rate.mean	0.0114929707673434	0.00963182986027239	0.0134032027419947	1234.32256654035
rate.variance	2.2596485894108e-06	2.07380740041331e-20	8.42554756334569e-06	6426.92999440422
rate.coefficientOfVariation	0.105505205454969	1.30698831662006e-08	0.261624533710368	6060.80028542562
