Parameter	Mean	95%_HPD_Lower	95%_HPD_Upper	ESS
posterior	-1247.08222429213	-1267.8948323019	-1225.20144545208	798.327066284188
likelihood	-1153.48769614983	-1163.74898521577	-1143.2086775837	780.582901515273
prior	-93.5945281422957	-112.98636060838	-73.2217967778486	893.706701661324
treeLikelihood	-1153.48769614983	-1163.74898521577	-1143.2086775837	780.582901515272
Tree.height	0.432101031500285	0.343590995267768	0.525302605713823	622.081184018124
Tree.treeLength	4.61501182845082	3.56138825821084	5.77353023964916	332.256594180897
ucldMean	0.0143933951313569	0.0102571236921537	0.0189788146041201	1880.16426527093
ucldStdev	0.18606263919793	8.58081450566602e-09	0.652206732188354	1194.29211710999
rate.mean	0.0144794208989496	0.0101265271563292	0.0190620495398133	1742.40543097645
rate.variance	1.87834556084948e-05	2.05169755800661e-20	9.32509505670083e-05	1307.99598066446
rate.coefficientOfVariation	0.191955271428424	8.84191315590015e-09	0.688824092400102	1186.30116983872
originBDMMPrime	0.471432216764946	0.387016545880863	0.553823730764777	942.340523163859
startTypePosteriorProbsLogger.startTypePosteriorProbs.Ghost	1	1	1	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P1	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P10	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P11	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P12	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P13	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P14	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P15	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P16	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P2	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P3	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P4	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P5	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P6	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P7	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P8	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P9	0	0	0	NA
ReSPEpi.i0_endtime	0.291432216764946	0.207016545880863	0.373823730764777	942.340523163859
ReSPEpi.i0_Ghost	2.6841488878404	1.14157066572425	4.68175883199277	1205.66420205648
ReSPEpi.i0_P1	0	0	0	NA
ReSPEpi.i0_P10	0	0	0	NA
ReSPEpi.i0_P11	0	0	0	NA
ReSPEpi.i0_P12	0	0	0	NA
ReSPEpi.i0_P13	0	0	0	NA
ReSPEpi.i0_P14	0	0	0	NA
ReSPEpi.i0_P15	0	0	0	NA
ReSPEpi.i0_P16	0	0	0	NA
ReSPEpi.i0_P2	0	0	0	NA
ReSPEpi.i0_P3	0	0	0	NA
ReSPEpi.i0_P4	0	0	0	NA
ReSPEpi.i0_P5	0	0	0	NA
ReSPEpi.i0_P6	0	0	0	NA
ReSPEpi.i0_P7	0	0	0	NA
ReSPEpi.i0_P8	0	0	0	NA
ReSPEpi.i0_P9	0	0	0	NA
ReSPEpi.i1_endtime	0.377432216764946	0.293016545880863	0.459823730764777	942.34052316386
ReSPEpi.i1_Ghost	0	0	0	NA
ReSPEpi.i1_P1	1.67008827436782	0.243293120410994	3.26115550402302	455.672499551657
ReSPEpi.i1_P10	1.67008827436782	0.243293120410994	3.26115550402302	455.672499551657
ReSPEpi.i1_P11	1.67008827436782	0.243293120410994	3.26115550402302	455.672499551657
ReSPEpi.i1_P12	1.67008827436782	0.243293120410994	3.26115550402302	455.672499551657
ReSPEpi.i1_P13	1.67008827436782	0.243293120410994	3.26115550402302	455.672499551657
ReSPEpi.i1_P14	1.67008827436782	0.243293120410994	3.26115550402302	455.672499551657
ReSPEpi.i1_P15	1.67008827436782	0.243293120410994	3.26115550402302	455.672499551657
ReSPEpi.i1_P16	1.67008827436782	0.243293120410994	3.26115550402302	455.672499551657
ReSPEpi.i1_P2	1.67008827436782	0.243293120410994	3.26115550402302	455.672499551657
ReSPEpi.i1_P3	1.67008827436782	0.243293120410994	3.26115550402302	455.672499551657
ReSPEpi.i1_P4	1.67008827436782	0.243293120410994	3.26115550402302	455.672499551657
ReSPEpi.i1_P5	1.67008827436782	0.243293120410994	3.26115550402302	455.672499551657
ReSPEpi.i1_P6	1.67008827436782	0.243293120410994	3.26115550402302	455.672499551657
ReSPEpi.i1_P7	1.67008827436782	0.243293120410994	3.26115550402302	455.672499551657
ReSPEpi.i1_P8	1.67008827436782	0.243293120410994	3.26115550402302	455.672499551657
ReSPEpi.i1_P9	1.67008827436782	0.243293120410994	3.26115550402302	455.672499551657
ReSPEpi.i2_Ghost	0	0	0	NA
ReSPEpi.i2_P1	2.60975349249664	0.517870087871309	5.20938269006353	473.832851553289
ReSPEpi.i2_P10	2.60975349249664	0.517870087871309	5.20938269006353	473.832851553289
ReSPEpi.i2_P11	2.60975349249664	0.517870087871309	5.20938269006353	473.832851553289
ReSPEpi.i2_P12	2.60975349249664	0.517870087871309	5.20938269006353	473.832851553289
ReSPEpi.i2_P13	2.60975349249664	0.517870087871309	5.20938269006353	473.832851553289
ReSPEpi.i2_P14	2.60975349249664	0.517870087871309	5.20938269006353	473.832851553289
ReSPEpi.i2_P15	2.60975349249664	0.517870087871309	5.20938269006353	473.832851553289
ReSPEpi.i2_P16	2.60975349249664	0.517870087871309	5.20938269006353	473.832851553289
