Parameter	Mean	95%_HPD_Lower	95%_HPD_Upper	ESS
posterior	-35.8878224800513	-68.9002893499634	-4.04764265223829	4037.66849064673
likelihood	NA	NA	NA	NA
prior	-35.8878224800513	-68.9002893499634	-4.04764265223829	4037.66849064673
treeLikelihood	NA	NA	NA	NA
Tree.height	1.13445004474025	1.02035203972739	1.25321775450682	5697.31405548503
Tree.treeLength	27.2885952601266	18.1681122588361	35.8926495167929	1592.48155824426
ucldMean	0.00101109529167731	2.53260535060156e-06	0.00364644712025344	54451.5765570436
ucldStdev	0.206850487122012	9.22131802489993e-11	0.774950244512024	149628.266551491
rate.mean	0.00101290232408306	2.57052980645247e-06	0.00365289537591564	54469.6193085162
rate.variance	8.40264026089679e-08	2.89815374757697e-14	2.26633087408004e-07	72441.2490996189
rate.coefficientOfVariation	0.129607342011062	0.0765224043674851	0.18181042330173	45789.0345897019
originBDMMPrime	1.19269604924864	1.08645080252618	1.30162641034298	11950.2218432135
typeMappedTree.length_NOT_SET	27.2885952601266	18.1681122588361	35.8926495167929	1592.48155824418
ReSPEpi.i0_endtime	0.45316210055441	0.0313644746068165	0.693212813085356	1497.77455520887
ReSPEpi.i0	2.85392160212971	1.02147836967952	4.2496282128239	2986.17810212812
ReSPEpi.i1_endtime	0.833078756272388	0.385884681731371	1.19418990273569	203.48461261797
ReSPEpi.i1	3.05778175794231	0.0115069276908344	18.6406182345501	416.748411968764
ReSPEpi.i2	1.50842834810021	0.10355666228635	3.32880041876961	5160.94116845908
becomeUninfectiousRateSPEpi	7.9051605386002	6.40497561389041	9.47345821266697	35106.5101602869
samplingProportionSPEpi.i0_endtime	0.242696049248642	0.136450802526178	0.351626410342981	11950.2218432136
samplingProportionSPEpi.i0	0	0	0	NA
samplingProportionSPEpi.i1_endtime	0.442696049248642	0.336450802526178	0.551626410342981	11950.2218432135
samplingProportionSPEpi.i1	0.131071967137779	0.00781476374797897	0.296759237545957	1375.5387606772
samplingProportionSPEpi.i2_endtime	1.09269604924864	0.986450802526178	1.20162641034298	11950.2218432135
samplingProportionSPEpi.i2	0	0	0	NA
samplingProportionSPEpi.i3	0.0772193160045481	3.19624681828194e-06	0.244891748258729	2236.71236226968
rateAC	0.75644274387898	0.0100174800311768	1.93378718836778	35883.0828046527
rateAG	1.49113398485986	0.0659347696855082	3.19533098250682	21596.0757139704
rateAT	0.754201068426891	0.0100035380383529	1.92222323003228	36851.1948742
rateCG	0.752842782093239	0.0100073718905883	1.92369821849998	36561.4089568182
rateCT	1.4898466806152	0.0656196926679629	3.18994832369114	20924.2883304417
rateGT	0.755532740125824	0.0100024305989583	1.92877501027616	36971.6976099636
substmodel	122425.994085792	121121	123454	220254.776557228
BMT_ModelIndicator	15.2842489414341	1	29	202756.234364298
BMT_gammaShape	0.996748218141899	0.00100892209165845	2.99375427028054	51879.801242377
BMT_ProportionInvariable	0.798620443966043	0.471577465405307	0.999995488847151	48566.3091674346
hasGammaRates	0.498579500660797	0	1	134448.440395423
hasInvariableSites	0.50027664618816	0	1	134756.217546846
ActivePropInvariable	0.399640745787856	0	0.974153686006468	127704.803766578
ActiveGammaShape	0.497829351981752	0	2.30240560210417	97406.9962546594
hasEqualFreqs	0.501658443729019	0	1	234233.891621579
BMT_frequencies.1	0.250854844638741	0.0651546130580783	0.460199199077457	48417.2311760276
BMT_frequencies.2	0.249832425795307	0.063005678023233	0.456175221745109	48275.5137580544
BMT_frequencies.3	0.249071226799242	0.0633658764151458	0.455273700400808	49290.4827451017
BMT_frequencies.4	0.250241502766705	0.065039497415466	0.458688930299333	48723.39064516
