Parameter	Mean	95%_HPD_Lower	95%_HPD_Upper	ESS
posterior	-1229.59257996852	-1251.07807620053	-1207.93686731381	328.612429876106
likelihood	-1153.81542631952	-1163.78095264386	-1144.10194210663	514.711470714788
prior	-75.7771536489977	-95.3516761479739	-55.6022029727011	313.763855435351
treeLikelihood	-1153.81542631952	-1163.78095264386	-1144.10194210663	514.711470714788
Tree.height	0.447388303038897	0.354508317495578	0.539526509677905	218.24869968677
Tree.treeLength	5.11605600557407	3.9714450613122	6.32952929171073	129.544166777471
ucldMean	0.0137608592799799	0.00993137101268056	0.0180615006902809	622.630382900963
ucldStdev	0.163887763143654	8.23923201225785e-08	0.576247110204084	766.026205155984
rate.mean	0.0138141852391188	0.0098948572063523	0.0180680580382859	604.402794154949
rate.variance	1.30453086688577e-05	7.86384520280014e-19	6.70630900632931e-05	997.680978047757
rate.coefficientOfVariation	0.166726848693948	8.07099669286257e-08	0.595004713337882	768.845579235295
originBDMMPrime	0.475827181436274	0.394829342418458	0.567879947722338	251.739400578812
startTypePosteriorProbsLogger.startTypePosteriorProbs.Ghost	1	1	1	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P1	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P10	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P11	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P12	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P13	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P14	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P15	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P16	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P2	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P3	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P4	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P5	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P6	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P7	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P8	0	0	0	NA
