Parameter	Mean	95%_HPD_Lower	95%_HPD_Upper	ESS
posterior	-1229.33809328932	-1251.17498693405	-1207.93686731381	317.235037250542
likelihood	-1153.83749786044	-1163.78095264386	-1144.12587532524	503.89698110952
prior	-75.5005954288764	-94.3309760073684	-54.6599189632261	316.743641332649
treeLikelihood	-1153.83749786044	-1163.78095264386	-1144.12587532524	503.89698110952
Tree.height	0.448669142133681	0.353514009917801	0.539526509677905	207.123485150161
Tree.treeLength	5.13524343304876	3.94516851146214	6.32382532301301	125.623970274659
ucldMean	0.0137354081448932	0.00993137101268056	0.0179863529750638	546.475417474119
ucldStdev	0.165507051549386	8.23923201225785e-08	0.577428786772934	792.15532866003
rate.mean	0.0137908943686574	0.00999447164776464	0.0180817028995489	578.978033696002
rate.variance	1.32815078142746e-05	7.86384520280014e-19	6.75921957768912e-05	814.74634107584
rate.coefficientOfVariation	0.16866897538608	8.07099669286257e-08	0.601444543673234	800.724888248688
originBDMMPrime	0.476812107017306	0.394958072993808	0.567879947722338	340.151296124346
startTypePosteriorProbsLogger.startTypePosteriorProbs.Ghost	1	1	1	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P1	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P10	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P11	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P12	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P13	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P14	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P15	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P16	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P2	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P3	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P4	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P5	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P6	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P7	0	0	0	NA
startTypePosteriorProbsLogger.startTypePosteriorProbs.P8	0	0	0	NA
