Parameter	Mean	95%_HPD_Lower	95%_HPD_Upper	ESS
posterior	-13.4840535996499	-63.6904493552971	46.7179583441222	464.111631293229
likelihood	NA	NA	NA	NA
prior	-13.4840535996499	-63.6904493552971	46.7179583441222	464.111631293229
treeLikelihood	NA	NA	NA	NA
Tree.height	1.17044940139602	1.04426987946609	1.29286576500814	653.745218815593
Tree.treeLength	25.6038409965045	13.8174941642921	37.2989267080953	281.262700637764
ucldMean	0.000976326285462605	2.30920282656874e-06	0.003525680486937	9846.74155567251
ucldStdev	0.206553841793254	3.06301967691281e-08	0.770433006653265	25084.9335976663
rate.mean	0.00100057744480993	3.8115513108695e-06	0.00363372854700276	9923.6761410028
rate.variance	1.83345270268583e-06	5.31080525921223e-14	4.02661529419859e-06	26740.4138378307
rate.coefficientOfVariation	0.52578732509661	0.0642964306435378	1.04576156432539	110.251502557829
originBDMMPrime	1.21456603350978	1.10239014089361	1.33044020431976	1138.94414419738
typeMappedTree.length_NOT_SET	25.6038409965045	13.8174941642921	37.2989267080953	281.262700637753
ReSPEpi.i0_endtime	0.258100110820481	0.00428992642688497	0.517285960009785	300.824546289315
ReSPEpi.i0	3.38345728171895	0.117838321993725	7.02685957854273	393.844182100044
ReSPEpi.i1_endtime	0.435300217009436	0.284853685869427	0.615272957765536	287.483712515468
ReSPEpi.i1	3.68143945206651	0.0220484622772101	20.7678485331728	89.7351141808129
ReSPEpi.i2_endtime	0.541650197390838	0.307015948161213	1.06977307648071	22.7676282565274
ReSPEpi.i2	16.618783322298	0.0267318834682047	40.6076756033001	84.194249303121
ReSPEpi.i3_endtime	1.08097504800807	0.848241937094451	1.24911464905542	98.9303303690299
ReSPEpi.i3	1.11511830931015	0.040655825164802	2.2087984889067	183.08949960175
ReSPEpi.i4	1.97328277425113	0.268268222766223	3.6724902717725	1543.0205658228
becomeUninfectiousRateSPEpi	8.06304098623569	6.57952445415046	9.68122278194294	6785.72207296537
samplingProportionSPEpi.i0_endtime	0.264566033509782	0.152390140893607	0.380440204319763	1138.94414419737
samplingProportionSPEpi.i0	0	0	0	NA
samplingProportionSPEpi.i1_endtime	0.464566033509782	0.352390140893607	0.580440204319763	1138.94414419738
samplingProportionSPEpi.i1	0.13121062798539	0.00261847075284464	0.300459290050379	289.609869335306
samplingProportionSPEpi.i2_endtime	1.11456603350978	1.00239014089361	1.23044020431976	1138.94414419738
samplingProportionSPEpi.i2	0	0	0	NA
samplingProportionSPEpi.i3	0.125447251700586	0.000440355664563979	0.336648813525205	485.482083085931
rateAC	0.749667528654673	0.0100752040150369	1.92194902224561	6017.45977069001
rateAG	1.4948271540031	0.0738622792869701	3.17476233584396	3825.30304410254
rateAT	0.750413487401068	0.0100140045797278	1.94143588141673	6435.54604239876
rateCG	0.75739302534606	0.0100381175108925	1.9378835416672	6299.42388513515
rateCT	1.49722070419608	0.0746441811780999	3.17571514631066	3565.3281789502
rateGT	0.750478100399029	0.0100053743841826	1.91303177461421	6524.49835686251
substmodel	122445.285676228	121121	123454	34745.4827529084
BMT_ModelIndicator	15.365384956931	1	29	32928.0077354098
BMT_gammaShape	0.991827188386102	0.0010046032600103	2.92814878273859	8445.6866295642
BMT_ProportionInvariable	0.801865833840962	0.478790464812918	0.999718200951031	7946.79317543342
hasGammaRates	0.49988455732173	0	1	21728.7315157881
hasInvariableSites	0.496687683154249	0	1	21797.3409805206
ActivePropInvariable	0.397968258153551	0	0.973817383315597	20995.8296792711
ActiveGammaShape	0.492887943097555	0	2.24983021958644	16207.5436461423
hasEqualFreqs	0.498961015895569	0	1	37618.2855598995
BMT_frequencies.1	0.248961421318725	0.0605348491805706	0.450388390627061	8510.79671885757
BMT_frequencies.2	0.25202657242807	0.0628676332204481	0.455868680503092	8345.02217247259
BMT_frequencies.3	0.251075067186524	0.0566047659624365	0.45068127883468	8528.54910968212
BMT_frequencies.4	0.247936939066679	0.0580735971024672	0.456513717866744	8384.79694519095
