Parameter	Mean	95%_HPD_Lower	95%_HPD_Upper	ESS
posterior	-25630.7010744846	-25642.6617833721	-25619.0765824507	2145.64687213737
likelihood	-25648.489997745	-25658.58567712	-25638.4632471151	2642.36164626622
prior	17.7889232603642	10.4514719710312	24.8491973518765	628.37438552518
treeLikelihood	-25648.489997745	-25658.58567712	-25638.4632471151	2642.36164626622
Tree.height	1.21402673474327	1.13053538734514	1.2916536250288	278.444654354363
Tree.treeLength	3.86744717360767	3.36759067648025	4.42588081916331	204.225068431199
rateAC	0.303451785862439	0.180932093622905	0.414559530453385	2372.613963713
rateAG	2.66391850697395	2.52979113187824	2.76515051344628	3006.18427914517
rateAT	0.158438654122317	0.0907353017384454	0.237675468101283	2266.44392258106
rateCG	0.0334466400903426	0.0100112301994806	0.070423303402502	1381.66137069775
rateCT	2.68581675976852	2.57309985290826	2.81027855690377	2665.8805502156
rateGT	0.154927653182423	0.0892011368413156	0.228379100640741	2443.641428521
substmodel	123206.076880347	121321	123453	2493.27034622332
BMT_ModelIndicator	22.5160537718031	5	28	2653.65416109745
BMT_gammaShape	1.11578341783421	0.214283632934994	2.41645042383075	459.973472724658
BMT_ProportionInvariable	0.741500548801614	0.611711918517388	0.832998158413576	345.849058343292
hasGammaRates	0.994445061659816	1	1	1167.36506798996
hasInvariableSites	1	1	1	NA
ActivePropInvariable	0.741500548801614	0.611711918517388	0.832998158413576	345.849058343292
ActiveGammaShape	1.10558275690773	0.214283632934994	2.46493924984818	506.237623050801
hasEqualFreqs	0	0	0	NA
BMT_frequencies.1	0.215300538330294	0.209093333264872	0.221930093004457	1363.15993602566
BMT_frequencies.2	0.273639831708847	0.266135569696304	0.280007304755201	1349.71980848408
BMT_frequencies.3	0.251890723831272	0.244827298677605	0.258620433498121	1194.91855430646
BMT_frequencies.4	0.259168906129589	0.252588026158655	0.266280703869063	1340.63423366715
originBDMMPrime	1.2527712870986	1.16330895809064	1.33963888736681	518.488672993185
typeMappedTree.length_NOT_SET	3.86744717360767	3.36759067648025	4.42588081916331	204.225068431195
ReSPEpi.i0_endtime	0.516064244498953	0.371576155446252	0.693836733229164	1658.3527205306
ReSPEpi.i0	1.80241352516595	1.19612342113994	2.43632430021764	2155.76786098993
ReSPEpi.i1_endtime	1.08414126344048	0.948296051875046	1.21832938761006	1339.3303608706
ReSPEpi.i1	0.347133889919175	0.0527464320139094	0.705573843791597	2962.64522360846
ReSPEpi.i2	3.84643342313438	1.61719490584436	6.41720583345997	2048.47941977631
becomeUninfectiousRateSPEpi	8.26111165571964	6.75198857216131	9.88315824994368	7020.18142134739
samplingProportionSPEpi.i0_endtime	0.302771287098601	0.213308958090636	0.389638887366813	518.488672993184
samplingProportionSPEpi.i0	0	0	0	NA
samplingProportionSPEpi.i1_endtime	0.502771287098601	0.413308958090636	0.589638887366813	518.488672993185
samplingProportionSPEpi.i1	0.235867844638867	0.102336975056615	0.386377949826944	3213.79888111652
samplingProportionSPEpi.i2_endtime	1.1527712870986	1.06330895809064	1.23963888736681	518.488672993185
samplingProportionSPEpi.i2	0	0	0	NA
samplingProportionSPEpi.i3	0.281666247225257	0.0508496566007223	0.5181096771191	2729.91918404402
ucldMean	0.0112519292044919	0.00914372397715856	0.0133879248229486	303.136192200647
ucldStdev	0.11413754656297	2.34589744732353e-07	0.288399741394155	1060.99129935876
rate.mean	0.0115067279358419	0.00963719076915372	0.0133190644356601	285.798401038544
rate.variance	2.51715766479338e-06	6.10797084600164e-18	9.32767541208516e-06	670.379807213167
rate.coefficientOfVariation	0.111347189491742	2.22658791419293e-07	0.278108202543704	1012.05355076535
