"pigID_weekOfSampling","SequenceName","Clade","Classification"
"515_2","OP688189.1_L1_515_2_WGS_2017-06-07",1,"Initial Infection"
"515_4","OP688196.1_L1_515_4_WGS_2017-06-22",1,"Persistent Infection"
"515_9","OP688211.1_L1_515_9_WGS_2017-07-25",2,"Reinfection"
"521_2","OP688190.1_L1_521_2_WGS_2017-06-07",2,"Initial Infection"
"521_4","OP688198.1_L1_521_4_WGS_2017-06-22",2,"Persistent Infection"
"522_2","OP688191.1_L1_522_2_WGS_2017-06-07",2,"Initial Infection"
"522_4","OP688199.1_L1_522_4_WGS_2017-06-22",2,"Persistent Infection"
"522_6","OP688206.1_L1_522_6_WGS_2017-07-13",2,"Persistent Infection"
"518_4","OP688197.1_L1_518_4_WGS_2017-06-22",2,"Initial Infection"
"518_6","OP688205.1_L1_518_6_WGS_2017-07-13",2,"Persistent Infection"
"533_2","OP688194.1_L1_533_2_WGS_2017-06-07",2,"Initial Infection"
"763_6","OP688213.1_L3_763_6_WGS_2018-04-12",3,"Initial Infection"
"794_6","OP688217.1_L3_794_6_WGS_2018-04-12",3,"Initial Infection"
"788_9","OP688222.1_L3_788_9_WGS_2018-04-25",3,"Initial Infection"
"785_9","OP688221.1_L3_785_9_WGS_2018-04-25",3,"Initial Infection"
"769_6","OP688215.1_L3_769_6_WGS_2018-04-12",3,"Initial Infection"
"769_9","OP688219.1_L3_769_9_WGS_2018-04-25",3,"Persistent Infection"
"765_6","OP688214.1_L3_765_6_WGS_2018-04-12",3,"Initial Infection"
"770_6","OP688216.1_L3_770_6_WGS_2018-04-12",3,"Initial Infection"
"770_9","OP688220.1_L3_770_9_WGS_2018-04-25",3,"Persistent Infection"
"798_6","OP688218.1_L3_798_6_WGS_2018-04-12",3,"Initial Infection"
"798_9","OP688223.1_L3_798_9_WGS_2018-04-25",3,"Persistent Infection"
"526_2","OP688192.1_L1_526_2_WGS_2017-06-07",4,"Initial Infection"
"526_4","OP688200.1_L1_526_4_WGS_2017-06-22",4,"Persistent Infection"
"527_2","OP688193.1_L1_527_2_WGS_2017-06-07",4,"Initial Infection"
"527_4","OP688201.1_L1_527_4_WGS_2017-06-22",4,"Persistent Infection"
"552_2","OP688195.1_L1_552_2_WGS_2017-06-07",4,"Initial Infection"
"516_6","OP688204.1_L1_516_6_WGS_2017-07-13",4,"Initial Infection"
"510_6","OP688203.1_L1_510_6_WGS_2017-07-13",4,"Initial Infection"
"545_6","OP688209.1_L1_545_6_WGS_2017-07-13",4,"Initial Infection"
"509_6","OP688202.1_L1_509_6_WGS_2017-07-13",5,"Initial Infection"
"535_6","OP688208.1_L1_535_6_WGS_2017-07-13",5,"Initial Infection"
"529_6","OP688207.1_L1_529_6_WGS_2017-07-13",5,"Initial Infection"
"559_9","OP688212.1_L1_559_9_WGS_2017-07-25",5,"Initial Infection"
"571_6","OP688210.1_L1_571_6_WGS_2017-07-13",5,"Initial Infection"
